character_details_id,first_appearance,based_on,adapted_by,portrayed_by,voiced_by,alias,title,occupation,affiliation,weapon,significant_others,nationality,char_name,full_name,aliases,nicknames,origin,family,spouse,children,nickname,relatives,last_appearance,created_by,species,significant_other,motion_capture_by,publisher,alter_ego,team_affiliations,notable_aliases,abilities,position,partnerships,place_of_origin,supporting_character_of,home,schedule,format,genre,publication_date,number_of_issues,writer,penciller,creators,gender,written_by,inker,colorist,editor
1,"The Incredible Hulk (2008)","Hulkby Stan LeeJack Kirby","Zak Penn","
Edward Norton (2008; The Incredible Hulk)
Mark Ruffalo (2012–present)
","Lou Ferrigno (2008–2017)","
Hulk
Mr. Green
","
Doctor
Champion of Sakaar
","
Avenger
Gladiator
Biochemist
Nuclear physicist
Professor
Consultant for S.H.I.E.L.D.
","
Avengers
Culver University
Revengers
S.H.I.E.L.D.
","
Hulkbuster armor
Nano Gauntlet
","
Betty Ross[a]
Natasha Romanoff[b]
",American,"Bruce Banner",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,"Captain America:  The First Avenger (2011)","Bucky Barnesby Joe SimonJack Kirby","Christopher MarkusStephen McFeely","Sebastian Stan",NULL,NULL,"Sergeant (U.S. Army)","
Assassin
Soldier
","
Hydra
Soviet Union
Howling Commandos
Strategic Scientific Reserve
United States Army
","
Metal prosthetic arms[1]
Captain America's shield
Various firearms
Grenade launcher
",NULL,American,"Bucky Barnes","James Buchanan Bucky Barnes","
Winter Soldier
White Wolf
","
Bucky
Buck
","Brooklyn, New York, United States",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,"Thor (2011)","Hawkeyeby Stan LeeDon Heck","
J. Michael Straczynski
Mark Protosevich
Ashley Miller
Zack Stentz
Don Payne
","Jeremy Renner",NULL,"
Hawkeye
Ronin
",NULL,"
Avenger
Vigilante
Agent of S.H.I.E.L.D.
","
Avengers
S.H.I.E.L.D.
S.T.R.I.K.E.[1]
","
Bow and quiver; Compound and Recurve bows[2]
Wristbow
Retractable katana[3] (as Ronin)
Shuriken (as Ronin)
Combat knives
Collapsible baton
Various trick arrows
Various firearms
",NULL,American,"Clint Barton","Clinton Francis Barton",NULL,NULL,NULL,"Edith Barton (mother)","Laura Barton","
Cooper Barton
Lila Barton
Nathaniel Barton
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,"Captain America: The First Avenger (2011)","Peggy Carterby Stan LeeJack Kirby","Christopher MarkusStephen McFeely","
Hayley Atwell
Gabriella Graves (young)
",NULL,NULL,NULL,"
Special agent
Director of S.H.I.E.L.D.
","
S.H.I.E.L.D.
Strategic Scientific Reserve
MI6
",NULL,"
Fred Wells (ex-fiancé)
Daniel Sousa (ex-boyfriend)
Jason Wilkes (ex-boyfriend)
",British,"Peggy Carter","Margaret Carter",NULL,NULL,NULL,"
Amanda Carter (mother)
Michael Carter (brother)
","Steve Rogers[a]",2,Peggy,"Sharon Carter (niece)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,"Iron Man (2008)",NULL,NULL,"Clark Gregg",NULL,NULL,NULL,"S.H.I.E.L.D. agentS.H.I.E.L.D. director",S.H.I.E.L.D.,NULL,"Audrey NathanRosalind PriceMelinda May",American,"Phil Coulson","Phillip J. Coulson[1]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"What If... Thor Were an Only Child? (2021)","Mark FergusHawk OstbyArt MarcumMatt Holloway","
Human
Life Model Decoy
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,"Captain Marvel (2019)","Carol Danversby Roy ThomasGene Colan","
Anna Boden
Ryan Fleck
Geneva Robertson-Dworet
Nicole Perlman
Meg LeFauve
","
Brie Larson
Mckenna Grace (13 years old)
London Fuller (6 years old)
","Alexandra Daniels (What If...?)[1]",NULL,Captain,"
Avenger[b]
Starforce warrior
Fighter pilot
","
Avengers
Skrulls
Kree Empire
Starforce
United States Air Force
",NULL,NULL,NULL,"Carol Danvers",NULL,"
Captain Marvel
Vers
Avenger[a]
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Human–Kree hybrid",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,"Guardians of the Galaxy (2014)","Drax the Destroyerby Jim Starlin","
James Gunn
Nicole Perlman
","Dave Bautista","Fred Tatasciore (What If...?)[1]","Drax the Destroyer",NULL,NULL,"Guardians of the Galaxy","
Dual knives
Various weapons including the Hadron Enforcer[2]
",NULL,NULL,Drax,Drax,NULL,NULL,NULL,NULL,Hovat,"Kamaria (daughter)",NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,"Iron Man (2008)","
Nick Furyby Stan Lee    Jack Kirby
Ultimate Nick Furyby Brian Michael Bendis    Mike Allred
","
Mark FergusHawk Ostby
Art MarcumMatt Holloway
","Samuel L. Jackson",NULL,NULL,"
Director
Colonel (U.S. Army)
","
Director of S.H.I.E.L.D.
Agent of S.H.I.E.L.D.
CIA agent
Soldier
","
Avengers
Central Intelligence Agency
S.H.I.E.L.D.
Skrulls
United States Army
",NULL,NULL,American,"Nick Fury","Nicholas Joseph Fury",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,"Guardians of the Galaxy (2014)","Gamoraby Jim Starlin","
James Gunn
Nicole Perlman
","
Zoe Saldaña
Ariana Greenblatt (young)
","Cynthia McWilliams (What If...?)[1]",NULL,NULL,"
Guardian
Assassin
Warlord (What If...?)
","
Guardians of the Galaxy
Children of Thanos
Guardians of the Multiverse (What If...?)[3]
","
Godslayer sword[4]
Bejeweled knife
Various firearms and bladed weapons
Double-edged blade (What If...?)
",NULL,NULL,Gamora,Gamora,NULL,NULL,NULL,"
Thanos (adoptive father)
Nebula (adoptive sister)
Corvus Glaive (adoptive brother)
Cull Obsidian (adoptive brother)
Ebony Maw (adoptive brother)
Proxima Midnight (adoptive sister)
",NULL,NULL,"Fiercest Woman in the Galaxy",NULL,NULL,NULL,Zehoberi[2],"Peter Quill[a]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,"Guardians of the Galaxy (2014)","Grootby Stan LeeLarry LieberJack Kirby","
James Gunn
Nicole Perlman
",NULL,"Vin Diesel","Baby Groot",NULL,"
Guardian of the Galaxy
Bounty hunter (Adult Groot)
","Guardians of the Galaxy",NULL,NULL,NULL,Groot,NULL,NULL,"
Tree
Twig
",NULL,"Rocket (adoptive father; Young Groot)",NULL,NULL,NULL,NULL,NULL,NULL,"Flora colossus",NULL,"Vin DieselKrystian GodlewskiSean GunnJames GunnTerry Notary",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,"The Eternals #1 (July 1976)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ikaris,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Jack Kirby",NULL,NULL,NULL,"Marvel Comics",Ikaris,EternalsUCWF,"Iceberg Ike Harris, Sovereign, Isaac Ike Harris, Daedalus","
Superhuman strength, speed, stamina, agility, reflexes and durability
Cosmic energy transmutation
Regeneration
Flight
Heat vision
Psionic abilities
Teleportation
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,"Ant-Man (2015)","Ant-Manby David MichelinieJohn Byrne","
Edgar Wright
Joe Cornish
Adam McKay
Paul Rudd
","
Paul Rudd
Jackson Dunn (young)
Lee Moore (old)
Bazlo LeClair (baby)
Loen LeClair (baby)
",NULL,Ant-Man,NULL,"
Avenger
Electrical engineer
Thief
Baskin-Robbins server
","
Avengers
X-Con Security Consultants
Baskin-Robbins
VistaCorp
",NULL,NULL,American,"Scott Lang","Scott Lang",NULL,NULL,"San Francisco, California, United States",NULL,"Maggie Lang (ex-wife)","Cassie Lang (daughter)",NULL,NULL,NULL,NULL,NULL,"Hope van Dyne",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,"Thor (2011)","Lokiby Stan LeeLarry LieberJack Kirby","
Ashley Miller
Zack Stentz
Don Payne
J. Michael Straczynski
Mark Protosevich
","
Tom Hiddleston
Ted Allpress (young; Thor)
",NULL,NULL,NULL,NULL,"
Chitauri
Revengers
Time Variance Authority (2012 variant)
","
Daggers and throwing knives
Scepter (Mind Stone)
Tesseract (Space Stone)
Gungnir[4]
",NULL,Asgardian,Loki,"
Loki Laufeyson[1]
Loki Odinson (adoptive)
Loki Friggason (adoptive)
","
God of Mischief[2][3]
D. B. Cooper
Variant L1130 (2012 variant)
",NULL,Jotunheim,"
Laufey (biological father)
Odin (adoptive father)
Frigga (adoptive mother)
Hela (adoptive sister)
Thor (adoptive brother)
",NULL,NULL,NULL,NULL,NULL,NULL,"Frost Giant",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"
Prince of Asgard
King of Asgard (disguised as Odin)
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,"The Avengers #112 (June 1973)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mantis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Steve Englehart (writer)Don Heck (artist)",NULL,NULL,NULL,"Marvel Comics",NULL,"Guardians of the GalaxyAvengersKnowhere Corps","WillowLoreleiMandy CelestineCelestial Madonna","Master martial artistEmpathyPlant manipulationAccelerated healingAstral projectionAbility to communicate telepathically with the CotatiEnergy projection",NULL,"Swordsman, Kang the Conqueror, Vision",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,"Captain America:  The Winter Soldier (2014)","Scarlet Witchby Stan LeeJack Kirby","Joss Whedon","
Elizabeth Olsen
Michaela Russell (young)
",NULL,NULL,"Scarlet Witch",NULL,"
Avengers
Hydra
","
Chaos magic[1][2]
Darkhold
",NULL,Sokovian,"Wanda Maximoff",NULL,NULL,NULL,Sokovia,"
Olek Maximoff (father)
Iryna Maximoff (mother)
Pietro Maximoff (brother)
",NULL,"
Billy and Tommy Maximoff[b]
",NULL,NULL,NULL,NULL,NULL,Vision[a],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,"Guardians of the Galaxy (2014)","Nebulaby Roger SternJohn Buscema","
James Gunn
Nicole Perlman
","Karen Gillan",NULL,NULL,NULL,NULL,"
Avengers[2]
Guardians of the Galaxy
Children of Thanos
Ravagers (What If...?)
","Electroshock batons[3]",NULL,NULL,Nebula,Nebula,NULL,NULL,NULL,"
Thanos (adoptive father)
Gamora (adoptive sister)
Corvus Glaive (adoptive brother)
Cull Obsidian (adoptive brother)
Ebony Maw (adoptive brother)
Proxima Midnight (adoptive sister)
",NULL,NULL,"Blue Meanie[1]",NULL,NULL,NULL,Luphomoid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,"Black Panther #1 (November 1998)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Okoye,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Christopher PriestMark Texeira",NULL,NULL,NULL,"Marvel Comics",NULL,"Dora MilajeAgents of WakandaAvengers",NULL,"
Master martial artist and hand-to-hand combatant
Master tactician, strategist, and field commander
",NULL,NULL,"Wakanda, Africa","Black Panther",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,"Captain America: Civil War (2016)","Spider-Manby Stan LeeSteve Ditko","Christopher MarkusStephen McFeely","Tom Holland","Hudson Thames (What If...?)",NULL,NULL,"
Vigilante
Avenger
High school student
Intern
","
Avengers
Stark Industries
","
Web-shooters
Technological glasses
Cloak of Levitation (What If...?)
",NULL,American,"Peter Parker",NULL,"
Spider-Man
Night Monkey
Peter-One
",NULL,"Forest Hills, Queens, New York, United States",NULL,NULL,NULL,NULL,"
May Parker (aunt)
Ben Parker (uncle)[1]
",NULL,NULL,NULL,"Michelle MJ Jones-Watson",NULL,NULL,NULL,NULL,NULL,"
Superhuman strength, speed, reflexes, agility, coordination and balance
Ability to cling to solid surfaces
Accelerated healing
Genius level intellect
Proficient scientist and engineer
Precognitive spider-sense ability
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,"As Pepper Potts:Tales of Suspense #45 (September 1963)As Rescue:The Invincible Iron Man #10 (May 2009)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pepper Potts","Virginia Potts",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Pepper Potts:Stan Lee (writer)Robert Bernstein (writer)Don Heck (artist)Rescue:Matt Fraction (writer)Salvador Larroca (artist)",NULL,NULL,NULL,"Marvel Comics",NULL,"The OrderThe InitiativeStark IndustriesAvengers","HeraRescueCoast GuardIron ManIron Woman","
The Stark-tech mag-field generator implanted in her chest which grants her:
Better hearing
Electromagnetic field sensing
As Rescue

Armor which grants her:
Energy projection
Flight
",NULL,NULL,NULL,"Iron Man",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,"Guardians of the Galaxy (2014)","Star-Lordby Steve EnglehartSteve Gan","
James Gunn
Nicole Perlman
","
Chris Pratt
Wyatt Oleff (young)
","Brian T. Delaney (What If...?)[1]",Star-Lord,NULL,"
Leader of the Guardians
Mercenary
Smuggler
Janitor (What If...?)
","
Guardians of the Galaxy
Ravagers
Dairy Queen (What If...?)
","
Double-barrel blaster pistol[2]
Various alien gadgets
",NULL,NULL,"Peter Quill","Peter Jason Quill",NULL,NULL,"Missouri, United States","
Meredith Quill (mother)
Ego (biological father)
Yondu Udonta (adoptive father)
",NULL,NULL,"Flash Gordon",NULL,NULL,NULL,"Human–Celestial hybrid",Gamora[a],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,"Iron Man (2008)","War Machineby David MichelinieJohn ByrneBob Layton","
Mark FergusHawk Ostby
Art MarcumMatt Holloway
","
Terrence Howard (2008; Iron Man)
Don Cheadle (2010–present)
",NULL,NULL,"Colonel (U.S. Air Force)","
Avenger
Pilot
Weapons liaison
","
Avengers
Stark Industries
United States Air Force
","War Machine armor",NULL,American,"James Rhodes","James Rhodes","
War Machine
Iron Patriot
",NULL,NULL,NULL,NULL,NULL,Rhodey,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,"Guardians of the Galaxy (2014)","Rocket Raccoonby Bill MantloKeith Giffen","
James Gunn
Nicole Perlman
",NULL,"Bradley Cooper",Rocket,NULL,"
Avenger
Bounty hunter
Guardian
","
Avengers
Guardians of the Galaxy
","
Various ion and laser cannons and blasters
Hadron Enforcer[2]
",NULL,NULL,Rocket,89P13,NULL,NULL,NULL,NULL,NULL,"Groot (adoptive son)[3]",Rabbit[1],NULL,NULL,NULL,"Raccoon Halfworlder",NULL,"Sean Gunn",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,"Captain America: The First Avenger (2011)","Captain Americaby Joe SimonJack Kirby","Christopher MarkusStephen McFeely","Chris EvansPatrick Gorman (elderly body double)","Chris Evans (film video game)Josh Keaton (What If...?)[1]",NULL,"Captain (later honorary)","
Leader of the Avengers
Grief counselor
Agent of S.H.I.E.L.D.
Soldier
","
Avengers
S.H.I.E.L.D.
S.T.R.I.K.E.
Howling Commandos
Strategic Scientific Reserve
United States Army
","
Captain America's shield
Mjolnir[2]
Dual Wakandan vibranium gauntlets[3]
Various weaponized motorcycles[4]
Colt M1911A1[5]
",NULL,American,"Steve Rogers","Steven Grant Rogers[a]","Captain America",NULL,"Brooklyn, New York, United States","Sarah Rogers (mother)","Peggy Carter[b]",NULL,NULL,NULL,"What If…? (2021)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,"Iron Man 2 (2010)","Black Widowby Stan LeeDon RicoDon Heck","Justin Theroux","
Scarlett Johansson
Ever Anderson (young; Black Widow)[1]
","Lake Bell (What If...?)[2]",NULL,NULL,"
Leader of the Avengers[a]
Agent of S.H.I.E.L.D.
Assassin
Spy
","
Avengers
Stark Industries
S.H.I.E.L.D.
S.T.R.I.K.E.[3]
KGB
Red Room
","
Various firearms
Dual Glock 26 handguns
Dual batons
Widow's Bite electrified bracelets[4]
",NULL,Russian-American,"Natasha Romanoff","Natalia Alianovna Romanov","
Black Widow
Natalie Rushman
",NULL,"Soviet Union","
Ivan Romanov (father)
Alexei Shostakov (adoptive father)
Melina Vostokoff (adoptive mother)
Yelena Belova (adoptive sister)
",NULL,NULL,Nat,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,"As Circe:Strange Tales #109 (June 1963)As Sersi:The Eternals #3 (September 1976)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sersi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan LeeRobert BernsteinJack Kirby",Eternal,NULL,NULL,"Marvel Comics",Sersi,"EternalsAvengersHeroes for HireNew BreedGod Squad","Circe, Sylvia Sersy, Mesmer, Sorceress","Superhuman strength, speed, agility, reflexes, stamina and durabilityMolecular and atomic manipulationManifest cosmic energy as any form of electromagnetism (heat, light, electricity, etc)TelepathyInvulnerabilityTelekinesisImmortalityFlightTeleportation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,"Shang-Chi and the Legend of the Ten Rings (2021)","Shang-Chiby Steve EnglehartJim Starlin","
David Callaham
Destin Daniel Cretton
Andrew Lanham
","
Simu Liu
Jayden Tianyi Zhang (young)
Arnold Sun (teenager)
",NULL,Shaun,NULL,"
Assassin
Hotel valet
","
Ten Rings
","
Ten Rings
Dragon scale gun
",NULL,Chinese-American,Shang-Chi,"Xu Shang-Chi",NULL,NULL,NULL,"
Wenwu (father)
Ying Li (mother)
Xialing (sister)
",NULL,NULL,NULL,"Ying Nan (aunt)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,"Black Panther (2018)","Shuriby Reginald HudlinJohn Romita Jr.","Ryan Coogler  Joe Robert Cole","Letitia Wright","Ozioma Akagha (What If...?)",NULL,NULL,NULL,"
Avengers
Dora Milaje
Wakandan Army
","Vibranium gauntlets[1]",NULL,Wakandan,Shuri,Shuri,NULL,NULL,NULL,"
T'Chaka (father)
Ramonda (mother)
T'Challa (brother)
",NULL,NULL,NULL,"
N'Jobu (uncle)
N'Jadaka (cousin)
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Wakanda,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,"Werewolf by Night #32 (August 1975)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Moon Knight",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Doug MoenchDon Perlin",NULL,NULL,NULL,"Marvel Comics","Marc Spector, Steven Grant, Jake Lockley","AvengersSecret AvengersWest Coast AvengersDefendersMidnight SonsMarvel KnightsHeroes for HireUnited States Marine Corps Force Reconnaissance","Fist of KhonshuMr. Knight","Currently:
Expert detective
Proficient in martial arts and armed combat
Utilizes high-tech equipment
Mystical visions
Formerly:

Increased strength, speed, and endurance depending on the lunar cycle
",NULL,NULL,NULL,NULL,NULL,Monthly,"Ongoing series",Superhero,"(vol. 1)November 1980 – July 1984(vol. 2)June – December 1985(Marc Spector: Moon Knight)June 1989 – March 1994(vol. 3)June – December 1998(vol. 4)November – September 1999(vol. 5)July 2006 – April 2008(Vengeance)March 2009 – August 2010","(vol. 1): 38(vol. 2): 6(Marc Spector): 60(vol. 3): 4(vol. 4): 4(vol. 5): 30(Vengeance): 10(vol. 6): 12(vol. 7): 17(vol. 8): 14 (Legacy): 13(vol. 9): ongoing","(vol. 1)Doug Moench (1–15, 17–26, 28–33), Alan Zelenetz (18, 21–22, 27, 32, 36–38), Tony Isabella (34–35)(vol. 2)Alan Zelenetz (1–4)(Marc Spector)Chuck Dixon (1–24, 34), J. M. DeMatteis (26–32), Terry Kavanagh (35–60)(vol. 5)Doug Moench (1–4), Charlie Huston, Mike BensonDoug Moench (1–4)(vol. 6)Brian Michael Bendis(vol. 7)Warren Ellis (1–6), Brian Wood, Cullen Bunn(vol. 8)Jeff Lemire(Legacy)Max Bemis(vol. 9)Jed MacKay","(vol. 1)Bill Sienkiewicz, Kevin Nowlan, Bo Hampton(vol. 2)Chris Warner(Marc Spector)Sal Velluto, Ron Garney, Gary Kwapisz, James Fry, Stephen Platt(vol. 5)David Finch, Mark Texeira, Mico Suayan, Javier Saltares, Jefte Palo(vol. 6)Alex Maleev(vol. 7)Declan Shalvey, Greg Smallwood, Ron Ackins(vol. 8)Greg Smallwood(Legacy)Jacen Burrows, Ty Templeton, Paul Davidson(vol. 9)Alessandro Cappuccio, Federico Sabbatini",NULL,NULL,NULL,NULL,NULL,NULL
