character_details_id,first_appearance,based_on,adapted_by,portrayed_by,voiced_by,alias,title,occupation,affiliation,weapon,significant_others,nationality,char_name,full_name,aliases,nicknames,origin,family,spouse,children,nickname,relatives,last_appearance,created_by,species,significant_other,motion_capture_by,publisher,alter_ego,team_affiliations,notable_aliases,abilities,position,partnerships,place_of_origin,supporting_character_of,home,schedule,format,genre,publication_date,number_of_issues,writer,penciller,creators,gender,written_by,inker,colorist,editor
29,"Iron Man (2008)","Iron Manby Stan LeeLarry LieberDon HeckJack Kirby","
Mark FergusHawk Ostby
Art MarcumMatt Holloway
","
Robert Downey Jr.
Davin Ransom (young)[1]
","Mick Wingert (What If...?)[2]","Iron Man",NULL,"
Benefactor and leader of the Avengers
Consultant for S.H.I.E.L.D.
CEO of Stark Industries
Weapons manufacturer
","
Avengers
Damage Control
S.H.I.E.L.D.
Stark Industries
","
Iron Man armor
Arc Reactor
Hulkbuster armor
Technological glasses
",NULL,American,"Tony Stark","Anthony Edward Stark[3]",NULL,NULL,"Manhattan, New York, United States","
Howard Stark (father)
Maria Stark (mother)
","Pepper Potts","Morgan Stark (daughter)",NULL,NULL,"What If…? (2021)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,"Doctor Strange (2016)","Doctor Strangeby Steve DitkoStan Lee","
Jon Spaihts
Scott Derrickson
C. Robert Cargill
","Benedict Cumberbatch (2016–present)",NULL,"Doctor Strange","
Doctor
Guardian of the New York Sanctum
Master of the Mystic Arts
Sorcerer Supreme
",Neurosurgeon,"Masters of the Mystic Arts","
Cloak of Levitation
Eye of Agamotto (Time Stone)[1]
Sling Ring
",NULL,American,"Stephen Strange","Stephen Strange",NULL,NULL,"New York City","Donna (sister)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,"Captain America: Civil War (2016)","Black Pantherby Stan Lee    Jack Kirby","Christopher MarkusStephen McFeely","Chadwick Boseman","Chadwick Boseman",NULL,"
King of Wakanda
Prince of Wakanda
Black Panther
",NULL,"
Dora Milaje
Wakandan Army
","
Vibranium Black Panther suit and retractable claws[1]
",Nakia,Wakandan,T'Challa,T'Challa,NULL,NULL,Wakanda,"
T'Chaka (father)
Ramonda (mother)
Shuri (sister)
",NULL,NULL,NULL,"
N'Jobu (uncle)
N'Jadaka (cousin)
","What If...? (2021)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,"The Avengers (2012)","Thanosby Jim Starlin","
Zak Penn
Joss Whedon
Christopher MarkusStephen McFeely
","
Josh Brolin (voice and motion-capture)
Damion Poitier (motion-capture; The Avengers)
",NULL,"
The Mad Titan
The Great Titan
",NULL,NULL,"
Children of Thanos
Chitauri
Sakaarans
Outriders
","
Infinity Gauntlet
Double-sided blade[1]
Sanctuary II warship
",NULL,NULL,Thanos,Thanos,NULL,NULL,NULL,"
A'lars (father)
Eros (brother)[2]
",NULL,"
Gamora (adoptive daughter)
Nebula (adoptive daughter)
Corvus Glaive (adoptive son)
Cull Obsidian (adoptive son)
Ebony Maw (adoptive son)
Proxima Midnight (adoptive daughter)
",NULL,NULL,NULL,NULL,Titan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"
Titan
Garden
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,"Thor (2011)","Thorby Stan Lee    Larry Lieber    Jack Kirby","
Ashley Miller
Zack Stentz
Don Payne
J. Michael Straczynski
Mark Protosevich
","
Chris Hemsworth
Dakota Goyo (young)
",NULL,NULL,"
God of Thunder
King of New Asgard
King of Asgard
Prince of Asgard
",NULL,"
Avengers
Guardians of the Galaxy
Revengers
Kingdom of Asgard
","
Mjolnir
Stormbreaker
",NULL,NULL,Thor,"Thor Odinson","Donald Blake[1]",NULL,Asgard,"
Odin (father)
Frigga (mother)
Hela (half-sister)
Loki (adoptive brother)
",NULL,NULL,NULL,NULL,NULL,NULL,Asgardian,"Jane Foster",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,"The Avengers #83 (December 1970)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Valkyrie,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"
Roy Thomas (writer)
John Buscema (artist)
","Asgardian Valkyrie",NULL,NULL,"Marvel Comics",Brunnhilde,"
Valkyrior
Avengers
Secret Avengers
Defenders
","
Samantha Parrington
Barbara Norris(s)
Sian Bowen
Annabelle Riggs
Jane Foster
","
Superhuman strength, endurance, speed, reflexes, agility, durability and longevity.
Invulnerability.
Regenerative Healing Factor.
Mystical teleportation.
Skillful armed and unarmed fighter.
Mediumship with the spirits of the dead.
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,"Ant-Man (2015)","Hope Pymby Tom DeFalcoRon Frenz","
Edgar WrightJoe Cornish
Adam McKayPaul Rudd
","
Evangeline Lilly
Madeleine McGraw (young)
",NULL,Wasp,NULL,NULL,"
Pym Technologies
S.H.I.E.L.D. (What If...?)
","Wasp suit",NULL,American,"Hope van Dyne","Hope van Dyne (née Pym)",NULL,NULL,"San Francisco, California, United States","
Hank Pym (father)
Janet van Dyne (mother)
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Scott Lang",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,"Avengers: Age of Ultron (2015)","Visionby Roy ThomasJohn Buscema","Joss Whedon","Paul Bettany","Ross Marquand (as Ultron; What If...?)",NULL,NULL,NULL,Avengers,"
Mind Stone
Mjolnir[a]
",NULL,NULL,Vision,"The Vision",NULL,NULL,"Midtown Manhattan, New York, United States",NULL,NULL,"Billy and Tommy Maximoff[c]",Vis,NULL,NULL,NULL,Synthezoid[1],"Wanda Maximoff[b]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"
Ultron
Tony Stark
Bruce Banner
",NULL,NULL,NULL,NULL,NULL
37,"The Fantastic Four #13 (April 1963)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Uatu,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan Lee Jack Kirby",Watcher,NULL,NULL,"Marvel Comics",Uatu,NULL,Watcher,"Vast cosmic powersSuperhuman intelligence and scientific knowledge beyond Earth measuringImmortality",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,"Captain America: The Winter Soldier (2014)","Falconby Stan LeeGene Colan","Christopher MarkusStephen McFeely","Anthony Mackie",NULL,NULL,NULL,"
Avenger
Trauma counselor
U.S. Air Force Pararescue Jumper
","
Avengers
United States Air Force
United States Department of Veterans Affairs
","
Captain America's shield
Custom vibranium flight suit[1][2]
EXO-7 Falcon flight suit[3]
Redwing drone[4]
Various firearms
",NULL,American,"Sam Wilson",NULL,"
Captain America
Falcon
",NULL,"Delacroix, Louisiana, United States","
Paul Wilson (father)
Darlene Wilson (mother)
Sarah Wilson (sister)
",NULL,NULL,NULL,"
AJ Wilson (nephew)
Cass Wilson (nephew)
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,"Doctor Strange (2016)","Wongby Steve DitkoStan Lee","
Jon Spaihts
Scott Derrickson
C. Robert Cargill
","Benedict Wong",NULL,NULL,"Sorcerer Supreme",Sorcerer,"Masters of the Mystic Arts",NULL,NULL,NULL,Wong,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,"The Eternals #2 (August 1976)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ajak,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Jack Kirby",NULL,NULL,NULL,"Marvel Comics",NULL,"EternalsGod Squad","The Legendary Inca Hero, Tecumotzin Lord of Flight","Superhuman speed, strength and durabilityAccelerated healing factorEnergy blastsFlightTeleportation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,"Anonymous cameo:Amazing Fantasy #15 (August 1962)As Liz Allan:The Amazing Spider-Man #4 (September 1963)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Elizabeth Allan","Elizabeth Allan",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan Lee (writer)Steve Ditko (artist)",NULL,NULL,NULL,"Marvel Comics",NULL,Alchemax,Firestar,NULL,NULL,NULL,NULL,Spider-ManDaredevilVenom,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,"Strange Tales #110 (July 1963)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Ancient One",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan LeeSteve Ditko",NULL,NULL,NULL,"Marvel Comics",NULL,"Ancient Ones","The MasterThe High LamaThe MysticThe Spirit Leopard","Vast Magical PowersEnergy blastsTeleportationIllusions generationAstral projection",NULL,"Doctor Strange",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,"Black Panther, vol. 3 #1 (November 1998)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Dora Milaje",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Christopher PriestMark Texeira",NULL,NULL,NULL,"Marvel Comics",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,"The Amazing Spider-Man #13 (June 1964)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mysterio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan LeeSteve Ditko",NULL,NULL,NULL,"Marvel Comics","Quentin Beck","Sinister SixMaggia","Dr. Ludwig RinehartCage McKnight[1]GerdesNicholas MacabesRudolph HinesMysty[2]","
Master illusionist and special effects expert
Proficient chemist and roboticist
Skilled hand-to-hand combatant
Advanced technology and gadgetry embedded in suit
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,"Inhumans #5 (March 1999)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Black Widow - Yelena Belova","Yelena Belova",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Devin GraysonJ.G. Jones",NULL,NULL,NULL,"Marvel Comics",NULL,"A.I.M.Russian FederationS.H.I.E.L.D.Vanguard","White Widow, Crimson Widow, Super-Adaptoid, Pale Little Spider & Russkaya","Peak athletic conditionExtensive military, martial arts, and espionage training",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,"Never Meet Your HeroesHawkeye(2021)","Kate Bishopby Allan HeinbergJim Cheung","Jonathan Igla","
Hailee Steinfeld
Clara Stack (young)
",NULL,Ronin,NULL,NULL,NULL,"
Bow and quiver
",NULL,American,"Kate Bishop","Katherine Bishop",NULL,NULL,"Manhattan, New York, United States","
Eleanor Bishop (mother)
Derek Bisop (father)
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,"Tales to Astonish #90 (April 1967)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Abomination,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan LeeGil Kane","Human mutate",NULL,NULL,"Marvel Comics","Emil Blonsky","KGBA.I.MLegion AccursedMasters of EvilLethal LegionGreen Spring","Agent R-7The Ravager of Worlds","
Superhuman strength, speed, stamina, and durability
Regeneration
Gamma ray emission and manipulation
",NULL,Leader,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,"Tales of Suspense #75 (March 1966)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Agent 13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan LeeJack KirbyDick Ayers",NULL,NULL,NULL,"Marvel Comics","Sharon Carter","S.H.I.E.L.D.Secret AvengersAvengersDaughters of Liberty","Agent 13","
Skilled athlete and martial artist
Expert in hand to hand combat
Highly trained in espionage, weaponry, and computers
Expert markswoman and mistress of various other weapons
",NULL,"Captain America",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,"Vengeance #1 (Sept. 2011)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"America Chavez",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Joe CaseyNick Dragotta",Human,NULL,NULL,"Marvel Comics",NULL,"Teen BrigadeYoung AvengersA-ForceUltimatesWest Coast Avengers","Miss America, Ms. America, Captain America, MAC","
Superhuman strength, speed, longevity and durability
Flight
Invulnerability
Star portal creation
Star Blast
Inter-dimensional travel
Time travel
",NULL,"Lisa Halloran, Ramone Watts","Utopian Parallel",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,"Darren Cross:Marvel Premiere #47 (April 1979)Yellowjacket:The Astonishing Ant-Man #12 (September 2016)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Darren Cross",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"John ByrneDavid Michelinie",NULL,NULL,NULL,"Marvel Comics",NULL,"Cross Technological Enterprises",Yellowjacket,"Skilled tactician, scientist, and businessmanSize-shifting and alterationSuperhuman strength, agility, reflexes, senses, and healingVia Yellowjacket suit:
Flight
Bio-energy projection
Enhanced durability
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,"The Amazing Spider-Man #9 (Feb. 1964)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Electro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan LeeSteve Ditko","Human mutate",NULL,NULL,"Marvel Comics","Maxwell Max Dillon","Sinister SixEmissaries of EvilFrightful FourExterminators[1]Sinister TwelveLegion Accursed","Master of ElectricityJolt","
Electric manipulation
Flight
Superhuman strength and speed when fully charged
",NULL,NULL,"Endicott, New York",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,"The Avengers #195 (May 1980)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Taskmaster,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"
David Michelinie
George Pérez
","Human mutate",NULL,NULL,"Marvel Comics","Anthony Tony Masters","
A.I.M.
Agency X
Cabal
Frightful Four
Initiative
Secret Avengers
Shadow Initiative
S.H.I.E.L.D.
Thunderbolts
","
Tasky
Contingency T
","
Master assassin and tactician
Master martial artist and hand-to-hand combatant
Expert swordsman, marksman and archer
Voice mimicry
Photographic reflexes
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,"The Eternals #11 (May 1977)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Druig,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Jack Kirby",NULL,NULL,NULL,"Marvel Comics",Druig,EternalsVorozheika,"Ivan Druig, Druig of Nightmares","Superhuman speed, strength and physical resistance,Accelerated healing,Cosmic energy manipulation,Energy blasts,Flight,Illusion generation,Matter transmutation,Teleportation.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,"Cameo appearance: The Mighty Thor #132 (September 1966)Full appearance: The Mighty Thor #133 (October 1966)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Ego the Living Planet",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan LeeJack Kirby","Sentient Planet",NULL,NULL,"Marvel Comics",NULL,"Nova CorpsElders of the Universe",NULL,"Exceptional intellectMatter manipulationVast psionic powers",NULL,NULL,"Black Galaxy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,"Werewolf by Night #32 (August 1975)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Moon Knight",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Doug MoenchDon Perlin",NULL,NULL,NULL,"Marvel Comics","Marc Spector, Steven Grant, Jake Lockley","AvengersSecret AvengersWest Coast AvengersDefendersMidnight SonsMarvel KnightsHeroes for HireUnited States Marine Corps Force Reconnaissance","Fist of KhonshuMr. Knight","Currently:
Expert detective
Proficient in martial arts and armed combat
Utilizes high-tech equipment
Mystical visions
Formerly:

Increased strength, speed, and endurance depending on the lunar cycle
",NULL,NULL,NULL,NULL,NULL,Monthly,"Ongoing series",Superhero,"(vol. 1)November 1980 – July 1984(vol. 2)June – December 1985(Marc Spector: Moon Knight)June 1989 – March 1994(vol. 3)June – December 1998(vol. 4)November – September 1999(vol. 5)July 2006 – April 2008(Vengeance)March 2009 – August 2010","(vol. 1): 38(vol. 2): 6(Marc Spector): 60(vol. 3): 4(vol. 4): 4(vol. 5): 30(Vengeance): 10(vol. 6): 12(vol. 7): 17(vol. 8): 14 (Legacy): 13(vol. 9): ongoing","(vol. 1)Doug Moench (1–15, 17–26, 28–33), Alan Zelenetz (18, 21–22, 27, 32, 36–38), Tony Isabella (34–35)(vol. 2)Alan Zelenetz (1–4)(Marc Spector)Chuck Dixon (1–24, 34), J. M. DeMatteis (26–32), Terry Kavanagh (35–60)(vol. 5)Doug Moench (1–4), Charlie Huston, Mike BensonDoug Moench (1–4)(vol. 6)Brian Michael Bendis(vol. 7)Warren Ellis (1–6), Brian Wood, Cullen Bunn(vol. 8)Jeff Lemire(Legacy)Max Bemis(vol. 9)Jed MacKay","(vol. 1)Bill Sienkiewicz, Kevin Nowlan, Bo Hampton(vol. 2)Chris Warner(Marc Spector)Sal Velluto, Ron Garney, Gary Kwapisz, James Fry, Stephen Platt(vol. 5)David Finch, Mark Texeira, Mico Suayan, Javier Saltares, Jefte Palo(vol. 6)Alex Maleev(vol. 7)Declan Shalvey, Greg Smallwood, Ron Ackins(vol. 8)Greg Smallwood(Legacy)Jacen Burrows, Ty Templeton, Paul Davidson(vol. 9)Alessandro Cappuccio, Federico Sabbatini",NULL,NULL,NULL,NULL,NULL,NULL
56,"Journey into Mystery #119 (August 1965)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Fandral,Fandral,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan LeeJack Kirby",Asgardian,NULL,NULL,"Marvel Comics",NULL,"Warriors ThreeThor Corps","Fandral the Dashing","Master swordsmanExcellent battlefield warriorSuperhuman strength, speed, agility, stamina, and durabilityExtended lifespan",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,"Journey into Mystery #119 (August 1965)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Fandral,Fandral,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan LeeJack Kirby",Asgardian,NULL,NULL,"Marvel Comics",NULL,"Warriors ThreeThor Corps","Fandral the Dashing","Master swordsmanExcellent battlefield warriorSuperhuman strength, speed, agility, stamina, and durabilityExtended lifespan",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,"As Jane Foster:Journey into Mystery #84 (September 1962)As Thor:Thor #1 (October 2014)As Valkyrie:War of the Realms Omega #1 (July 2019)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Jane Foster",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan LeeLarry LieberJack Kirby",Human,NULL,NULL,"Marvel Comics",NULL,"Secret Avengers (Civil War)Thor CorpsAvengersValkyrior","Thor, Valkyrie","As Thor
Super human strength
Abilities via Mjolnir:

Dimensional transportation
Physical transformation
Electric manipulation
Flight
Weather manipulation
Electrokinesis
Star creation/generation
As Valkyrie

Access to Undrjarn, the shape shifting weapon
Flight
",NULL,NULL,Earth,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,"Journey into Mystery #92 (May 1963)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Frigga,"Freyja Freyrdottir",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan Lee (Writer)Robert BernsteinJoe Sinnott",Asgardian,NULL,NULL,"Marvel Comics",NULL,Asgard,FrigFreyjaFreyaFricka,NULL,NULL,NULL,Asgard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,"The Eternals #13 (July 1977)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Gilgamesh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Jack Kirby",NULL,NULL,NULL,"Marvel Comics",NULL,EternalsAvengers,"Gil, Hero of Sumer, Lost Eternal, Beloved of the Muses, Dragon-Slayer, Forgotten Nemesis, Beast of Legend, King Gilgamesh","Superhuman strength, stamina, agility, reflexes, and durabilityRegenerative healing factorFlightOptic blastsRepressed agingImmunity to disease",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,"The Avengers #69 (Oct. 1969)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Grandmaster,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Roy Thomas (writer)Sal Buscema (artist)",NULL,NULL,NULL,"Marvel Comics","En Dwi Gast","Squadron SinisterElders of the Universe","The Master of Games","User of the Power Primordial:ImmortalityMaster of all gamesMaster strategist and tacticianEnergy controlSize and matter manipulationAbility to will the death and resurrection of another",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,"Iron Man #120 (March 1979)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Justin Hammer","Justin Hammer",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"David Michelinie (writer)Bob Layton (writer)John Romita Jr. (artist)",NULL,NULL,NULL,"Marvel Comics",NULL,"Hammer Industries",NULL,"Genius-level intellectExpert strategist",NULL,NULL,"Surrey, England",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,"Fantastic Four #94 (January 1970)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Agatha Harkness",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Stan Lee (writer)Jack Kirby (artist)",Witch,NULL,NULL,"Marvel Comics",NULL,"Daughters of Liberty",NULL,"Highly-skilled magic user",NULL,"Fantastic FourScarlet Witch",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
